channel,store_code,sku,day,online,quantity,discount_value,revenue
Retail,S001,ST0009_M,2026-01-01,No,2,0,4392
Retail,S001,ST0036_L,2026-01-01,No,4,0,14496
Retail,S001,ST0013_L,2026-01-01,No,4,0,5824
Retail,S001,ST0024_M,2026-01-01,No,4,0,13900
Retail,S001,ST0023_S,2026-01-01,No,2,0,2398
Retail,S001,ST0006_XL,2026-01-01,No,1,0,4223
Retail,S001,ST0001_M,2026-01-01,No,2,0,2318
Retail,S001,ST0032_L,2026-01-01,No,1,0,3201
Retail,S001,ST0026_M,2026-01-01,No,1,0,2395
Retail,S001,ST0031_L,2026-01-01,No,4,0,18460
Retail,S001,ST0030_L,2026-01-01,No,4,0,11820
Retail,S001,ST0012_XL,2026-01-01,No,2,0,6738
Retail,S002,ST0027_S,2026-01-01,No,3,0,13542
Retail,S002,ST0016_XL,2026-01-01,No,2,0,3090
Retail,S002,ST0036_XL,2026-01-01,No,4,0,14204
Retail,S002,ST0015_XL,2026-01-01,No,1,0,3604
Retail,S002,ST0040_L,2026-01-01,No,3,0,1848
Retail,S002,ST0030_S,2026-01-01,No,3,0,3111
Retail,S002,ST0036_L,2026-01-01,No,2,0,7248
Retail,S002,ST0006_XL,2026-01-01,No,2,0,8446
Retail,S002,ST0035_L,2026-01-01,No,1,0,2215
Retail,S002,ST0047_XL,2026-01-01,No,3,0,8937
Retail,S002,ST0035_M,2026-01-01,No,1,0,1648
Retail,S002,ST0023_M,2026-01-01,No,3,0,4917
Retail,S002,ST0008_L,2026-01-01,No,3,0,4962
Retail,S002,ST0009_S,2026-01-01,No,3,0,11073
Retail,S002,ST0023_S,2026-01-01,No,3,0,3597
Retail,S003,ST0041_XL,2026-01-01,No,3,0,6492
Retail,S003,ST0004_XL,2026-01-01,No,1,0,2302
Retail,S003,ST0018_L,2026-01-01,No,1,0,1459
Retail,S003,ST0023_L,2026-01-01,No,1,0,690
Retail,S003,ST0028_S,2026-01-01,No,1,0,654
Retail,S003,ST0037_L,2026-01-01,No,2,0,2982
Retail,S003,ST0030_M,2026-01-01,No,2,0,4682
Retail,S003,ST0032_XL,2026-01-01,No,3,0,4413
Retail,S003,ST0015_L,2026-01-01,No,4,0,19984
Retail,S003,ST0048_L,2026-01-01,No,4,0,19808
Retail,S003,ST0029_XL,2026-01-01,No,1,0,3306
Retail,S003,ST0014_M,2026-01-01,No,1,0,4993
Retail,S003,ST0006_S,2026-01-01,No,3,0,4548
Retail,S003,ST0048_S,2026-01-01,No,3,0,6405
Retail,S004,ST0004_XL,2026-01-01,No,4,0,9208
Retail,S004,ST0024_L,2026-01-01,No,1,0,1684
Retail,S004,ST0020_XL,2026-01-01,No,3,0,11832
Retail,S004,ST0004_L,2026-01-01,No,2,0,6838
Retail,S004,ST0036_M,2026-01-01,No,4,0,12640
Retail,S004,ST0028_S,2026-01-01,No,4,0,2616
Retail,S004,ST0017_XL,2026-01-01,No,2,0,5970
Retail,S004,ST0026_M,2026-01-01,No,1,0,2395
Retail,S004,ST0035_XL,2026-01-01,No,1,0,4354
Retail,S004,ST0034_M,2026-01-01,No,1,0,4236
Retail,S004,ST0049_M,2026-01-01,No,1,0,3751
Retail,S004,ST0037_M,2026-01-01,No,4,0,5504
Retail,S004,ST0047_M,2026-01-01,No,1,0,3459
Retail,S004,ST0035_S,2026-01-01,No,4,0,15044
Retail,S004,ST0027_L,2026-01-01,No,3,0,6558
Retail,S005,ST0027_M,2026-01-01,No,2,0,6802
Retail,S005,ST0014_S,2026-01-01,No,1,0,660
Retail,S005,ST0044_S,2026-01-01,No,1,0,1080
Retail,S005,ST0034_XL,2026-01-01,No,3,0,3222
Retail,S005,ST0026_S,2026-01-01,No,4,0,4276
Retail,S005,ST0020_M,2026-01-01,No,3,0,9072
Retail,S005,ST0026_M,2026-01-01,No,3,0,7185
Retail,S005,ST0002_XL,2026-01-01,No,3,0,10233
Retail,S005,ST0011_XL,2026-01-01,No,1,0,2700
Retail,S005,ST0028_XL,2026-01-01,No,1,0,4557
Retail,S005,ST0006_M,2026-01-01,No,4,0,16572
Retail,S005,ST0003_XL,2026-01-01,No,3,0,10428
Retail,S005,ST0017_M,2026-01-01,No,3,0,11808
Retail,S005,ST0008_L,2026-01-01,No,4,0,6616
Retail,S005,ST0001_M,2026-01-01,No,2,0,2318
Retail,S005,ST0032_XL,2026-01-01,No,1,0,1471
Retail,S006,ST0020_M,2026-01-01,No,2,0,6048
Retail,S006,ST0049_M,2026-01-01,No,1,0,3751
Retail,S006,ST0036_XL,2026-01-01,No,4,0,14204
Retail,S006,ST0046_S,2026-01-01,No,1,0,4545
Retail,S006,ST0018_S,2026-01-01,No,3,0,11562
Retail,S006,ST0038_M,2026-01-01,No,1,0,4965
Retail,S006,ST0029_L,2026-01-01,No,1,0,4841
Retail,S006,ST0014_XL,2026-01-01,No,4,0,17948
Retail,S006,ST0015_S,2026-01-01,No,4,0,8108
Retail,S006,ST0044_S,2026-01-01,No,3,0,3240
Retail,S006,ST0034_L,2026-01-01,No,1,0,4269
Retail,S006,ST0008_L,2026-01-01,No,1,0,1654
