ean,style,size,mrp
ST0001_S,ST0001,S,2294
ST0001_M,ST0001,M,1159
ST0001_L,ST0001,L,3311
ST0001_XL,ST0001,XL,1869
ST0002_S,ST0002,S,2486
ST0002_M,ST0002,M,646
ST0002_L,ST0002,L,3719
ST0002_XL,ST0002,XL,3411
ST0003_S,ST0003,S,2234
ST0003_M,ST0003,M,2343
ST0003_L,ST0003,L,988
ST0003_XL,ST0003,XL,3476
ST0004_S,ST0004,S,2459
ST0004_M,ST0004,M,2885
ST0004_L,ST0004,L,3419
ST0004_XL,ST0004,XL,2302
ST0005_S,ST0005,S,4561
ST0005_M,ST0005,M,3869
ST0005_L,ST0005,L,762
ST0005_XL,ST0005,XL,1123
ST0006_S,ST0006,S,1516
ST0006_M,ST0006,M,4143
ST0006_L,ST0006,L,2549
ST0006_XL,ST0006,XL,4223
ST0007_S,ST0007,S,3608
ST0007_M,ST0007,M,4590
ST0007_L,ST0007,L,2556
ST0007_XL,ST0007,XL,3670
ST0008_S,ST0008,S,2182
ST0008_M,ST0008,M,2755
ST0008_L,ST0008,L,1654
ST0008_XL,ST0008,XL,4999
ST0009_S,ST0009,S,3691
ST0009_M,ST0009,M,2196
ST0009_L,ST0009,L,4491
ST0009_XL,ST0009,XL,2148
ST0010_S,ST0010,S,1945
ST0010_M,ST0010,M,4699
ST0010_L,ST0010,L,4423
ST0010_XL,ST0010,XL,753
ST0011_S,ST0011,S,3683
ST0011_M,ST0011,M,3057
ST0011_L,ST0011,L,598
ST0011_XL,ST0011,XL,2700
ST0012_S,ST0012,S,3461
ST0012_M,ST0012,M,4933
ST0012_L,ST0012,L,4277
ST0012_XL,ST0012,XL,3369
ST0013_S,ST0013,S,3734
ST0013_M,ST0013,M,4291
ST0013_L,ST0013,L,1456
ST0013_XL,ST0013,XL,4567
ST0014_S,ST0014,S,660
ST0014_M,ST0014,M,4993
ST0014_L,ST0014,L,1800
ST0014_XL,ST0014,XL,4487
ST0015_S,ST0015,S,2027
ST0015_M,ST0015,M,1718
ST0015_L,ST0015,L,4996
ST0015_XL,ST0015,XL,3604
ST0016_S,ST0016,S,3235
ST0016_M,ST0016,M,1454
ST0016_L,ST0016,L,3946
ST0016_XL,ST0016,XL,1545
ST0017_S,ST0017,S,2193
ST0017_M,ST0017,M,3936
ST0017_L,ST0017,L,1062
ST0017_XL,ST0017,XL,2985
ST0018_S,ST0018,S,3854
ST0018_M,ST0018,M,725
ST0018_L,ST0018,L,1459
ST0018_XL,ST0018,XL,3567
