channel,store_code,ean,day,quantity
Retail,S001,ST0009_M,2026-01-01,35
Retail,S001,ST0007_M,2026-01-01,16
Retail,S001,ST0036_L,2026-01-01,32
Retail,S001,ST0013_L,2026-01-01,19
Retail,S001,ST0024_M,2026-01-01,27
Retail,S001,ST0023_S,2026-01-01,12
Retail,S001,ST0006_XL,2026-01-01,5
Retail,S001,ST0001_M,2026-01-01,4
Retail,S001,ST0032_L,2026-01-01,24
Retail,S001,ST0026_M,2026-01-01,9
Retail,S001,ST0031_L,2026-01-01,44
Retail,S001,ST0035_L,2026-01-01,32
Retail,S001,ST0014_XL,2026-01-01,17
Retail,S001,ST0030_L,2026-01-01,10
Retail,S001,ST0020_L,2026-01-01,25
Retail,S001,ST0012_XL,2026-01-01,21
Retail,S001,ST0026_L,2026-01-01,26
Retail,S001,ST0012_L,2026-01-01,12
Retail,S001,ST0020_M,2026-01-01,33
Retail,S001,ST0016_XL,2026-01-01,34
Retail,S002,ST0027_S,2026-01-01,5
Retail,S002,ST0016_XL,2026-01-01,29
Retail,S002,ST0035_S,2026-01-01,29
Retail,S002,ST0026_S,2026-01-01,2
Retail,S002,ST0036_XL,2026-01-01,30
Retail,S002,ST0015_XL,2026-01-01,35
Retail,S002,ST0040_L,2026-01-01,19
Retail,S002,ST0030_S,2026-01-01,10
Retail,S002,ST0041_L,2026-01-01,14
Retail,S002,ST0036_L,2026-01-01,29
Retail,S002,ST0003_L,2026-01-01,1
Retail,S002,ST0006_XL,2026-01-01,14
Retail,S002,ST0035_L,2026-01-01,7
Retail,S002,ST0047_XL,2026-01-01,44
Retail,S002,ST0035_M,2026-01-01,4
Retail,S002,ST0023_M,2026-01-01,25
Retail,S002,ST0008_L,2026-01-01,18
Retail,S002,ST0009_S,2026-01-01,32
Retail,S002,ST0023_S,2026-01-01,48
Retail,S002,ST0019_XL,2026-01-01,46
Retail,S003,ST0041_XL,2026-01-01,34
Retail,S003,ST0004_XL,2026-01-01,24
Retail,S003,ST0018_L,2026-01-01,10
Retail,S003,ST0023_L,2026-01-01,6
Retail,S003,ST0028_S,2026-01-01,26
Retail,S003,ST0012_XL,2026-01-01,26
Retail,S003,ST0037_L,2026-01-01,42
Retail,S003,ST0030_M,2026-01-01,43
Retail,S003,ST0006_XL,2026-01-01,23
Retail,S003,ST0032_XL,2026-01-01,6
Retail,S003,ST0015_L,2026-01-01,5
Retail,S003,ST0016_S,2026-01-01,23
Retail,S003,ST0048_L,2026-01-01,48
Retail,S003,ST0029_XL,2026-01-01,42
Retail,S003,ST0014_M,2026-01-01,27
Retail,S003,ST0019_L,2026-01-01,20
Retail,S003,ST0044_L,2026-01-01,6
Retail,S003,ST0049_XL,2026-01-01,19
Retail,S003,ST0006_S,2026-01-01,48
Retail,S003,ST0048_S,2026-01-01,21
Retail,S004,ST0004_XL,2026-01-01,48
Retail,S004,ST0024_L,2026-01-01,16
Retail,S004,ST0020_XL,2026-01-01,48
Retail,S004,ST0004_L,2026-01-01,15
Retail,S004,ST0036_M,2026-01-01,7
Retail,S004,ST0028_S,2026-01-01,16
Retail,S004,ST0020_L,2026-01-01,15
Retail,S004,ST0032_L,2026-01-01,17
Retail,S004,ST0017_XL,2026-01-01,11
Retail,S004,ST0021_L,2026-01-01,25
Retail,S004,ST0026_M,2026-01-01,44
Retail,S004,ST0035_XL,2026-01-01,46
Retail,S004,ST0001_L,2026-01-01,15
Retail,S004,ST0034_M,2026-01-01,22
Retail,S004,ST0049_M,2026-01-01,20
Retail,S004,ST0037_M,2026-01-01,6
Retail,S004,ST0014_XL,2026-01-01,6
Retail,S004,ST0047_M,2026-01-01,47
Retail,S004,ST0035_S,2026-01-01,22
Retail,S004,ST0027_L,2026-01-01,17
Retail,S005,ST0027_M,2026-01-01,47
Retail,S005,ST0014_S,2026-01-01,29
Retail,S005,ST0044_S,2026-01-01,40
Retail,S005,ST0034_XL,2026-01-01,27
Retail,S005,ST0026_S,2026-01-01,14
Retail,S005,ST0020_M,2026-01-01,28
Retail,S005,ST0026_M,2026-01-01,19
Retail,S005,ST0002_XL,2026-01-01,49
Retail,S005,ST0046_S,2026-01-01,26
Retail,S005,ST0033_M,2026-01-01,11
Retail,S005,ST0001_S,2026-01-01,9
Retail,S005,ST0011_XL,2026-01-01,21
Retail,S005,ST0028_XL,2026-01-01,17
Retail,S005,ST0006_M,2026-01-01,13
Retail,S005,ST0003_XL,2026-01-01,11
Retail,S005,ST0017_M,2026-01-01,34
Retail,S005,ST0008_L,2026-01-01,11
Retail,S005,ST0027_S,2026-01-01,10
Retail,S005,ST0001_M,2026-01-01,5
Retail,S005,ST0032_XL,2026-01-01,10
Retail,S006,ST0020_M,2026-01-01,11
Retail,S006,ST0049_M,2026-01-01,44
Retail,S006,ST0036_XL,2026-01-01,39
Retail,S006,ST0004_XL,2026-01-01,14
Retail,S006,ST0046_S,2026-01-01,34
Retail,S006,ST0018_S,2026-01-01,7
Retail,S006,ST0038_M,2026-01-01,47
Retail,S006,ST0029_L,2026-01-01,43
Retail,S006,ST0014_XL,2026-01-01,36
Retail,S006,ST0015_S,2026-01-01,37
Retail,S006,ST0044_S,2026-01-01,40
Retail,S006,ST0009_M,2026-01-01,46
Retail,S006,ST0034_L,2026-01-01,19
Retail,S006,ST0012_XL,2026-01-01,38
Retail,S006,ST0026_L,2026-01-01,24
Retail,S006,ST0008_L,2026-01-01,27
Retail,S006,ST0013_XL,2026-01-01,34
Retail,S006,ST0037_M,2026-01-01,4
Retail,S006,ST0017_S,2026-01-01,0
Retail,S006,ST0002_S,2026-01-01,39
Retail,S007,ST0044_S,2026-01-01,45
Retail,S007,ST0011_M,2026-01-01,28
Retail,S007,ST0027_M,2026-01-01,34
Retail,S007,ST0002_L,2026-01-01,35
Retail,S007,ST0007_L,2026-01-01,1
Retail,S007,ST0009_XL,2026-01-01,48
Retail,S007,ST0050_S,2026-01-01,3
Retail,S007,ST0033_XL,2026-01-01,24
Retail,S007,ST0045_M,2026-01-01,6
Retail,S007,ST0040_M,2026-01-01,9
Retail,S007,ST0031_L,2026-01-01,30
Retail,S007,ST0029_S,2026-01-01,41
Retail,S007,ST0035_M,2026-01-01,41
Retail,S007,ST0041_M,2026-01-01,19
Retail,S007,ST0025_M,2026-01-01,6
Retail,S007,ST0028_M,2026-01-01,43
Retail,S007,ST0006_XL,2026-01-01,41
Retail,S007,ST0029_XL,2026-01-01,12
Retail,S007,ST0036_L,2026-01-01,21
Retail,S007,ST0006_M,2026-01-01,8
Retail,S008,ST0007_S,2026-01-01,40
Retail,S008,ST0045_M,2026-01-01,12
Retail,S008,ST0007_XL,2026-01-01,33
Retail,S008,ST0029_L,2026-01-01,33
Retail,S008,ST0041_M,2026-01-01,24
Retail,S008,ST0008_S,2026-01-01,44
Retail,S008,ST0021_L,2026-01-01,11
Retail,S008,ST0010_XL,2026-01-01,12
Retail,S008,ST0014_M,2026-01-01,17
Retail,S008,ST0033_XL,2026-01-01,5
Retail,S008,ST0045_XL,2026-01-01,42
Retail,S008,ST0018_L,2026-01-01,22
Retail,S008,ST0034_S,2026-01-01,30
Retail,S008,ST0009_M,2026-01-01,4
Retail,S008,ST0016_S,2026-01-01,33
Retail,S008,ST0040_M,2026-01-01,24
Retail,S008,ST0050_M,2026-01-01,10
Retail,S008,ST0046_L,2026-01-01,30
Retail,S008,ST0010_L,2026-01-01,22
Retail,S008,ST0013_L,2026-01-01,8
Retail,S009,ST0005_L,2026-01-01,14
Retail,S009,ST0001_L,2026-01-01,26
Retail,S009,ST0026_M,2026-01-01,30
Retail,S009,ST0018_L,2026-01-01,22
Retail,S009,ST0030_M,2026-01-01,12
Retail,S009,ST0045_XL,2026-01-01,36
Retail,S009,ST0037_XL,2026-01-01,32
Retail,S009,ST0050_S,2026-01-01,18
Retail,S009,ST0038_XL,2026-01-01,29
Retail,S009,ST0036_M,2026-01-01,46
Retail,S009,ST0037_S,2026-01-01,36
Retail,S009,ST0014_L,2026-01-01,15
Retail,S009,ST0002_M,2026-01-01,43
Retail,S009,ST0032_XL,2026-01-01,2
Retail,S009,ST0031_L,2026-01-01,3
Retail,S009,ST0034_M,2026-01-01,31
Retail,S009,ST0009_S,2026-01-01,33
Retail,S009,ST0010_S,2026-01-01,24
Retail,S009,ST0010_L,2026-01-01,20
Retail,S009,ST0036_L,2026-01-01,26
Retail,S010,ST0036_M,2026-01-01,42
Retail,S010,ST0006_L,2026-01-01,38
Retail,S010,ST0014_S,2026-01-01,16
Retail,S010,ST0022_L,2026-01-01,5
Retail,S010,ST0038_XL,2026-01-01,0
Retail,S010,ST0002_XL,2026-01-01,9
Retail,S010,ST0034_XL,2026-01-01,4
Retail,S010,ST0008_S,2026-01-01,21
Retail,S010,ST0027_XL,2026-01-01,1
Retail,S010,ST0017_XL,2026-01-01,9
Retail,S010,ST0016_M,2026-01-01,15
Retail,S010,ST0017_S,2026-01-01,38
Retail,S010,ST0031_M,2026-01-01,23
Retail,S010,ST0006_M,2026-01-01,9
Retail,S010,ST0001_M,2026-01-01,48
Retail,S010,ST0022_S,2026-01-01,19
Retail,S010,ST0017_L,2026-01-01,3
Retail,S010,ST0010_XL,2026-01-01,21
Retail,S010,ST0042_L,2026-01-01,14
Retail,S010,ST0026_XL,2026-01-01,27
Retail,S001,ST0012_S,2026-01-02,27
Retail,S001,ST0014_M,2026-01-02,44
Retail,S001,ST0028_XL,2026-01-02,18
Retail,S001,ST0049_L,2026-01-02,13
Retail,S001,ST0018_M,2026-01-02,35
Retail,S001,ST0017_S,2026-01-02,29
Retail,S001,ST0041_L,2026-01-02,32
Retail,S001,ST0036_M,2026-01-02,24
Retail,S001,ST0028_L,2026-01-02,34
Retail,S001,ST0021_S,2026-01-02,13
Retail,S001,ST0040_L,2026-01-02,3
Retail,S001,ST0008_S,2026-01-02,3
Retail,S001,ST0003_M,2026-01-02,40
Retail,S001,ST0010_S,2026-01-02,45
Retail,S001,ST0050_L,2026-01-02,15
Retail,S001,ST0044_L,2026-01-02,48
Retail,S001,ST0022_L,2026-01-02,34
Retail,S001,ST0030_M,2026-01-02,45
Retail,S001,ST0040_M,2026-01-02,20
Retail,S001,ST0014_S,2026-01-02,4
Retail,S002,ST0002_S,2026-01-02,27
Retail,S002,ST0034_L,2026-01-02,6
Retail,S002,ST0012_XL,2026-01-02,36
Retail,S002,ST0013_M,2026-01-02,0
Retail,S002,ST0039_L,2026-01-02,46
Retail,S002,ST0036_L,2026-01-02,18
Retail,S002,ST0008_XL,2026-01-02,9
Retail,S002,ST0045_M,2026-01-02,17
Retail,S002,ST0014_S,2026-01-02,34
Retail,S002,ST0048_L,2026-01-02,46
Retail,S002,ST0023_S,2026-01-02,10
Retail,S002,ST0002_L,2026-01-02,48
Retail,S002,ST0033_S,2026-01-02,7
Retail,S002,ST0015_M,2026-01-02,47
Retail,S002,ST0036_M,2026-01-02,11
Retail,S002,ST0011_XL,2026-01-02,30
Retail,S002,ST0020_M,2026-01-02,48
Retail,S002,ST0042_M,2026-01-02,49
Retail,S002,ST0011_M,2026-01-02,29
Retail,S002,ST0021_L,2026-01-02,2
Retail,S003,ST0044_XL,2026-01-02,18
Retail,S003,ST0044_L,2026-01-02,37
Retail,S003,ST0034_L,2026-01-02,39
Retail,S003,ST0032_XL,2026-01-02,33
Retail,S003,ST0034_S,2026-01-02,15
Retail,S003,ST0024_L,2026-01-02,1
Retail,S003,ST0046_L,2026-01-02,1
Retail,S003,ST0039_XL,2026-01-02,25
Retail,S003,ST0041_XL,2026-01-02,46
Retail,S003,ST0017_M,2026-01-02,33
Retail,S003,ST0021_L,2026-01-02,7
Retail,S003,ST0029_L,2026-01-02,28
Retail,S003,ST0048_L,2026-01-02,38
Retail,S003,ST0015_S,2026-01-02,16
Retail,S003,ST0017_S,2026-01-02,29
Retail,S003,ST0004_M,2026-01-02,12
Retail,S003,ST0039_S,2026-01-02,18
Retail,S003,ST0049_L,2026-01-02,18
Retail,S003,ST0010_L,2026-01-02,24
Retail,S003,ST0044_S,2026-01-02,22
Retail,S004,ST0033_S,2026-01-02,3
Retail,S004,ST0023_M,2026-01-02,28
Retail,S004,ST0021_S,2026-01-02,28
Retail,S004,ST0008_XL,2026-01-02,33
Retail,S004,ST0017_L,2026-01-02,12
Retail,S004,ST0016_S,2026-01-02,22
Retail,S004,ST0047_M,2026-01-02,25
Retail,S004,ST0023_L,2026-01-02,25
Retail,S004,ST0031_XL,2026-01-02,4
Retail,S004,ST0041_XL,2026-01-02,31
Retail,S004,ST0016_M,2026-01-02,49
Retail,S004,ST0005_L,2026-01-02,14
Retail,S004,ST0047_S,2026-01-02,21
Retail,S004,ST0040_M,2026-01-02,16
Retail,S004,ST0041_M,2026-01-02,25
Retail,S004,ST0023_S,2026-01-02,6
Retail,S004,ST0050_M,2026-01-02,25
Retail,S004,ST0026_XL,2026-01-02,9
Retail,S004,ST0009_S,2026-01-02,44
Retail,S004,ST0010_L,2026-01-02,10
Retail,S005,ST0001_M,2026-01-02,35
Retail,S005,ST0037_L,2026-01-02,28
Retail,S005,ST0049_M,2026-01-02,3
Retail,S005,ST0035_M,2026-01-02,33
Retail,S005,ST0045_S,2026-01-02,48
Retail,S005,ST0047_L,2026-01-02,22
Retail,S005,ST0013_L,2026-01-02,4
Retail,S005,ST0009_S,2026-01-02,40
Retail,S005,ST0041_M,2026-01-02,5
Retail,S005,ST0039_S,2026-01-02,9
Retail,S005,ST0008_M,2026-01-02,19
Retail,S005,ST0037_M,2026-01-02,21
Retail,S005,ST0033_S,2026-01-02,27
Retail,S005,ST0007_S,2026-01-02,37
Retail,S005,ST0028_S,2026-01-02,35
Retail,S005,ST0008_L,2026-01-02,4
Retail,S005,ST0010_XL,2026-01-02,22
Retail,S005,ST0006_XL,2026-01-02,49
Retail,S005,ST0038_S,2026-01-02,24
Retail,S005,ST0038_L,2026-01-02,13
Retail,S006,ST0041_L,2026-01-02,33
Retail,S006,ST0045_M,2026-01-02,5
Retail,S006,ST0006_S,2026-01-02,9
Retail,S006,ST0043_L,2026-01-02,32
Retail,S006,ST0027_S,2026-01-02,35
Retail,S006,ST0012_S,2026-01-02,1
Retail,S006,ST0018_L,2026-01-02,28
Retail,S006,ST0010_S,2026-01-02,0
Retail,S006,ST0029_M,2026-01-02,18
Retail,S006,ST0014_L,2026-01-02,24
Retail,S006,ST0035_XL,2026-01-02,14
Retail,S006,ST0046_XL,2026-01-02,21
Retail,S006,ST0044_XL,2026-01-02,47
Retail,S006,ST0022_M,2026-01-02,21
Retail,S006,ST0016_S,2026-01-02,33
Retail,S006,ST0009_L,2026-01-02,44
Retail,S006,ST0008_M,2026-01-02,0
Retail,S006,ST0003_L,2026-01-02,48
Retail,S006,ST0045_L,2026-01-02,3
Retail,S006,ST0007_S,2026-01-02,48
Retail,S007,ST0046_M,2026-01-02,41
Retail,S007,ST0024_L,2026-01-02,13
Retail,S007,ST0008_L,2026-01-02,9
Retail,S007,ST0003_M,2026-01-02,35
Retail,S007,ST0035_L,2026-01-02,8
Retail,S007,ST0043_S,2026-01-02,27
Retail,S007,ST0018_M,2026-01-02,13
Retail,S007,ST0017_M,2026-01-02,14
Retail,S007,ST0025_L,2026-01-02,23
Retail,S007,ST0026_L,2026-01-02,8
Retail,S007,ST0046_S,2026-01-02,32
Retail,S007,ST0031_XL,2026-01-02,2
Retail,S007,ST0029_L,2026-01-02,39
Retail,S007,ST0020_XL,2026-01-02,0
Retail,S007,ST0034_XL,2026-01-02,28
Retail,S007,ST0044_S,2026-01-02,33
Retail,S007,ST0028_S,2026-01-02,12
Retail,S007,ST0037_XL,2026-01-02,33
Retail,S007,ST0030_S,2026-01-02,47
Retail,S007,ST0007_M,2026-01-02,47
Retail,S008,ST0021_XL,2026-01-02,39
Retail,S008,ST0044_XL,2026-01-02,6
Retail,S008,ST0041_S,2026-01-02,37
Retail,S008,ST0009_L,2026-01-02,1
Retail,S008,ST0032_M,2026-01-02,7
Retail,S008,ST0022_L,2026-01-02,32
Retail,S008,ST0046_L,2026-01-02,37
Retail,S008,ST0020_M,2026-01-02,19
Retail,S008,ST0037_S,2026-01-02,42
Retail,S008,ST0035_M,2026-01-02,30
Retail,S008,ST0011_L,2026-01-02,31
Retail,S008,ST0042_M,2026-01-02,9
Retail,S008,ST0004_M,2026-01-02,44
Retail,S008,ST0006_XL,2026-01-02,34
Retail,S008,ST0042_S,2026-01-02,12
Retail,S008,ST0009_S,2026-01-02,34
Retail,S008,ST0005_L,2026-01-02,10
Retail,S008,ST0048_M,2026-01-02,20
Retail,S008,ST0011_S,2026-01-02,10
Retail,S008,ST0013_L,2026-01-02,47
Retail,S009,ST0019_XL,2026-01-02,24
Retail,S009,ST0027_L,2026-01-02,11
Retail,S009,ST0041_M,2026-01-02,14
Retail,S009,ST0012_L,2026-01-02,14
Retail,S009,ST0029_XL,2026-01-02,16
Retail,S009,ST0047_S,2026-01-02,39
Retail,S009,ST0010_M,2026-01-02,25
Retail,S009,ST0015_XL,2026-01-02,20
Retail,S009,ST0003_S,2026-01-02,12
Retail,S009,ST0011_S,2026-01-02,11
Retail,S009,ST0049_S,2026-01-02,37
Retail,S009,ST0001_S,2026-01-02,6
Retail,S009,ST0048_S,2026-01-02,34
Retail,S009,ST0009_S,2026-01-02,15
Retail,S009,ST0031_M,2026-01-02,24
Retail,S009,ST0020_M,2026-01-02,44
Retail,S009,ST0024_XL,2026-01-02,48
Retail,S009,ST0048_L,2026-01-02,5
Retail,S009,ST0032_XL,2026-01-02,12
Retail,S009,ST0025_S,2026-01-02,25
Retail,S010,ST0008_S,2026-01-02,22
Retail,S010,ST0045_L,2026-01-02,24
Retail,S010,ST0009_M,2026-01-02,29
Retail,S010,ST0038_L,2026-01-02,20
Retail,S010,ST0050_XL,2026-01-02,19
Retail,S010,ST0031_XL,2026-01-02,21
Retail,S010,ST0050_S,2026-01-02,32
Retail,S010,ST0002_L,2026-01-02,37
Retail,S010,ST0017_XL,2026-01-02,14
Retail,S010,ST0027_S,2026-01-02,45
Retail,S010,ST0029_L,2026-01-02,14
Retail,S010,ST0015_XL,2026-01-02,20
Retail,S010,ST0012_XL,2026-01-02,4
Retail,S010,ST0020_L,2026-01-02,48
Retail,S010,ST0041_S,2026-01-02,47
